City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
careiro da varzea,BR,-59.8119,-3.2003,78.8,78.8,89,20,4.61
tayturka,RU,103.4608,52.8692,9.01,9.01,94,100,5.73
puerto narino,CO,-70.3831,-3.7703,78.8,78.8,100,0,2.17
fukue,JP,128.8419,32.6881,53.6,53.6,62,0,8.05
beloha,MG,45.05,-25.1667,71.02,71.02,83,100,7.56
cidreira,BR,-50.2056,-30.1811,73.62,73.62,83,21,14.34
vardo,NO,31.1107,70.3705,24.26,24.26,87,100,13.33
te anau,NZ,167.7167,-45.4167,52.45,52.45,78,100,6.04
mizan teferi,ET,35.5833,6.9833,65.71,65.71,43,100,2.51
kemijarvi,FI,27.4306,66.7131,4.98,4.98,94,99,3.85
morondava,MG,44.2833,-20.2833,78.75,78.75,83,100,14.07
guerrero negro,MX,-114.0611,27.9769,57.61,57.61,71,66,17.9
gibsons,CA,-123.5027,49.3997,29.88,30.99,86,64,1.19
mangrol,IN,70.1167,21.1167,68.22,68.22,40,100,7.23
linares,CL,-71.6,-35.85,68.99,68.99,65,0,3.0
cherskiy,RU,161.3,68.75,-9.44,-9.44,87,0,3.47
north auburn,US,-121.0819,38.9313,52.9,60.8,76,1,0.51
sandpoint,US,-116.5533,48.2766,13.64,23.0,63,90,8.05
vaitape,PF,-151.75,-16.5167,82.0,82.0,69,0,15.88
aykhal,RU,111.5,66.0,-18.76,-18.76,86,6,5.46
mandalgovi,MN,106.2708,45.7625,24.22,24.22,87,37,21.85
margate,GB,1.3862,51.3813,31.82,34.0,65,100,1.01
walvis bay,NA,14.5053,-22.9575,67.08,68.0,82,100,3.44
fairhope,US,-87.9033,30.523,63.77,64.4,100,90,3.44
fernie,CA,-115.0687,49.5,-5.04,8.6,49,99,14.97
ronneby,SE,15.276,56.21,15.8,15.8,92,93,6.91
cao bang,VN,106.25,22.6667,65.43,65.43,67,0,0.78
paraiso,CR,-83.8656,9.8383,66.65,66.99,83,95,5.99
zhuhai,CN,113.5678,22.2769,62.73,63.0,82,40,13.8
sao felix do xingu,BR,-51.995,-6.6447,72.99,72.99,96,100,1.68
skjervoy,NO,20.9714,70.0311,33.24,33.24,84,100,21.85
kissidougou,GN,-10.0999,9.1848,68.13,68.13,48,0,4.03
marsh harbour,BS,-77.0636,26.5412,74.01,74.01,80,100,11.21
olafsvik,IS,-23.7142,64.8945,36.9,36.9,81,100,19.73
buchanan,LR,-10.0467,5.8808,78.76,78.76,89,1,5.61
axim,GH,-2.2405,4.8699,80.19,80.19,85,9,6.4
chongwe,ZM,28.682,-15.3292,65.55,65.55,95,100,0.36
saint-pierre,RE,55.4781,-21.3393,74.48,77.0,69,40,4.61
baia de aries,RO,23.2833,46.3833,44.8,45.0,100,90,5.75
la ronge,CA,-105.2842,55.1001,-20.2,-20.2,69,98,4.61
verkhnevilyuysk,RU,120.3167,63.4453,-18.18,-18.18,88,92,3.24
khani,GE,42.9566,41.9563,44.6,44.6,87,0,6.91
zhaotong,CN,103.7167,27.3167,44.4,44.4,72,25,4.61
henties bay,NA,14.2845,-22.116,68.0,68.0,90,99,6.51
namibe,AO,12.1522,-15.1961,72.86,72.86,73,100,3.65
ust-tsilma,RU,52.1498,65.441,-13.99,-13.99,88,96,3.4
scarborough,GB,-0.4044,54.2797,33.49,35.01,59,79,5.01
grand gaube,MU,57.6608,-20.0064,79.0,79.0,74,19,5.99
chihuahua,MX,-106.0,28.5,68.0,68.0,14,20,9.22
kollam,IN,76.6,8.8833,75.2,75.2,57,20,9.17
ancud,CL,-73.8203,-41.8697,65.12,66.0,68,0,4.61
sisimiut,GL,-53.6735,66.9395,13.3,13.3,92,59,8.01
ivdel,RU,60.4206,60.6911,-22.5,-22.5,83,48,1.88
diffa,NE,12.6113,13.3154,65.8,65.8,27,0,10.07
port hedland,AU,118.5667,-20.3167,87.8,87.8,70,75,12.66
plesetsk,RU,40.2916,62.708,-11.7,-11.7,87,34,3.65
caravelas,BR,-39.2481,-17.7125,75.63,75.63,83,3,4.72
padang,ID,100.3543,-0.9492,80.6,80.6,74,20,1.14
dom pedrito,BR,-54.6731,-30.9828,67.55,67.55,89,100,9.1
ponta do sol,PT,-17.1,32.6667,55.58,60.01,77,86,1.01
nongstoin,IN,91.2667,25.5167,55.35,55.35,50,0,2.24
seoul,KR,126.9778,37.5683,39.22,41.0,70,40,4.61
hamza,UZ,71.4956,40.4264,41.0,41.0,81,75,2.3
whitianga,NZ,175.7,-36.8333,71.6,71.6,60,63,1.21
chuy,UY,-53.4616,-33.6971,70.02,70.02,86,97,9.86
hessisch oldendorf,DE,9.25,52.1667,16.9,19.4,86,93,4.61
ust-nera,RU,143.2,64.5667,8.74,8.74,84,67,4.54
san luis,AR,-66.3356,-33.295,66.58,66.58,64,10,12.57
ribeira brava,PT,-17.0667,32.65,55.44,60.01,87,88,3.0
mana,GF,-53.7767,5.6592,76.93,76.93,83,12,11.99
mayo,US,-76.5119,38.8876,32.79,34.0,100,90,3.44
chissamba,AO,17.3333,-12.1667,61.77,61.77,86,100,6.15
oyama,JP,139.8,36.3,52.66,57.0,37,20,3.44
san juan,AR,-68.5364,-31.5375,76.71,76.71,40,13,7.36
carutapera,BR,-46.02,-1.195,78.8,78.8,83,100,7.07
inhambane,MZ,35.3833,-23.865,78.49,78.49,83,0,13.13
kibala,TD,18.3463,9.1104,64.4,64.4,63,0,3.6
hambantota,LK,81.1185,6.1241,68.0,68.0,100,100,3.44
puerto madryn,AR,-65.0385,-42.7692,70.68,70.68,51,0,31.65
roald,NO,6.1333,62.5833,17.4,23.0,54,0,12.66
namatanai,PG,152.4333,-3.6667,83.03,83.03,76,81,6.15
jiayuguan,CN,98.3,39.8167,35.1,35.1,67,0,8.3
omboue,GA,9.2618,-1.5746,78.58,78.58,89,100,1.77
udachnyy,RU,112.4,66.4167,-24.16,-24.16,83,4,4.05
clyde river,CA,-68.5914,70.4692,5.0,5.0,92,0,25.34
voh,NC,164.7,-20.9667,79.07,79.07,74,55,6.85
aripuana,BR,-60.6333,-9.1667,73.42,73.42,97,100,2.33
praia da vitoria,PT,-27.0667,38.7333,54.79,55.4,76,20,27.49
sri aman,MY,111.4621,1.2376,80.31,80.6,89,40,2.3
valleyview,CA,-117.2859,55.0667,-22.0,-22.0,69,100,4.61
grand-lahou,CI,-5.0242,5.1367,79.0,79.0,89,0,10.96
gijon,ES,-5.6615,43.5357,50.0,53.01,88,100,3.51
yazd,IR,54.3675,31.8972,48.2,48.2,37,40,6.91
kabo,CF,18.629,7.6994,67.53,67.53,24,3,2.84
landerneau,FR,-4.2525,48.4525,28.92,30.2,64,0,14.97
manggar,ID,108.2667,-2.8833,82.63,82.63,76,100,9.62
taoudenni,ML,-3.9836,22.6783,63.99,63.99,24,0,11.14
caxias,PT,-9.2767,38.7031,56.88,57.99,100,75,9.22
asosa,ET,34.5333,10.0667,63.14,63.14,30,94,5.14
puerto cabezas,NI,-83.3888,14.0351,74.59,74.59,83,1,7.23
cockburn town,TC,-71.1419,21.4612,77.0,77.0,73,40,6.91
qarqin,AF,66.0436,37.4185,54.19,54.19,56,0,8.01
palestina,PS,35.2033,31.9216,50.36,55.0,93,20,3.44
port-gentil,GA,8.7815,-0.7193,81.68,81.68,82,100,5.91
kijang,KR,129.2139,35.2442,42.8,42.8,52,0,5.75
bara,NG,10.7288,10.3744,67.89,67.89,22,1,7.49
lokoja,NG,6.743,7.8024,78.55,78.55,54,22,1.79
maceio,BR,-35.7353,-9.6658,75.2,75.2,94,75,4.61
makasar,ID,119.4221,-5.14,86.0,86.0,74,20,3.44
amurzet,RU,131.0981,47.6967,17.73,17.73,94,0,4.68
takoradi,GH,-1.7554,4.8845,79.41,79.41,87,1,7.74
at-bashi,KG,75.8106,41.1702,19.72,19.72,84,71,1.1
alappuzha,IN,76.3264,9.49,71.98,71.98,69,100,6.82
rincon,US,-81.2354,32.296,57.76,57.99,94,90,3.44
poyarkovo,RU,128.6833,49.6,12.79,12.79,94,12,8.68
herat,AF,62.0,34.5,33.8,33.8,64,0,3.44
sinnamary,GF,-52.95,5.3833,76.84,76.84,85,55,13.02
reconquista,AR,-59.65,-29.15,71.47,71.47,65,14,7.94
green valley,US,-110.9937,31.8543,62.31,64.99,29,50,6.17
jalu,LY,21.5482,29.0331,55.44,55.44,35,0,6.73
labrea,BR,-64.7981,-7.2586,74.57,74.57,96,97,2.3
sinfra,CI,-5.9167,6.6167,77.0,77.0,88,13,4.61
inta,RU,60.1659,66.0317,-19.7,-19.7,88,100,7.81
brigantine,US,-74.3646,39.4101,33.6,34.0,69,90,3.44
cap malheureux,MU,57.6142,-19.9842,79.0,79.0,74,13,5.99
roblin,CA,-101.3565,51.23,-27.36,-27.36,86,91,7.58
codrington,AU,141.9667,-38.2667,90.28,90.28,26,100,17.18
breytovo,RU,37.8617,58.2993,-1.71,-1.71,93,100,6.2
lisakovsk,KZ,62.4936,52.5369,-2.07,-2.07,92,87,8.37
harlingen,US,-97.6961,26.1906,72.79,73.99,94,20,12.66
los llanos de aridane,ES,-17.9182,28.6585,56.71,62.6,72,0,6.91
salym,RU,71.4789,60.0625,-25.19,-25.19,85,26,6.17
bhadrachalam,IN,80.8833,17.6667,64.98,64.98,81,7,1.92
ostrovnoy,RU,39.5131,68.0531,4.71,4.71,92,8,14.83
moron,AR,-58.6198,-34.6534,71.01,71.01,87,100,4.0
dwarka,IN,68.9678,22.2394,67.95,67.95,68,100,7.96
ilhabela,BR,-45.3581,-23.7781,73.99,73.99,80,69,6.38
haines junction,CA,-137.5108,60.7522,-22.0,-22.0,57,0,1.59
halifax,CA,-63.5724,44.6453,16.79,19.4,73,23,9.22
carora,VE,-70.0827,10.1755,70.16,70.16,68,0,7.81
kaitangata,NZ,169.8464,-46.2817,57.0,57.0,63,100,18.01
north platte,US,-100.7654,41.1239,5.94,7.0,72,90,5.75
aleksandrov gay,RU,48.5704,50.147,22.5,22.5,98,100,8.25
marilia,BR,-49.9458,-22.2139,73.4,73.4,73,0,11.5
charters towers,AU,146.2667,-20.1,85.15,85.15,59,67,9.73
yelizovo,RU,158.3805,53.1873,32.0,32.0,64,40,24.61
ardatov,RU,43.097,55.2421,0.73,0.73,93,88,8.28
panama city,PA,-79.5197,8.9936,78.8,78.8,83,75,9.22
parrita,CR,-84.3225,9.5201,68.23,69.8,73,0,8.05
kupang,ID,123.5833,-10.1667,84.2,84.2,84,75,11.5
goba,ET,39.9833,7.0167,47.97,47.97,77,100,2.62
puerto quijarro,BO,-57.7667,-17.7833,71.62,71.62,94,100,3.98
saint-augustin,CA,-58.6502,51.226,14.13,14.13,96,100,9.13
vredendal,ZA,18.5012,-31.6683,62.71,62.71,89,100,1.63
orleans,US,-89.9501,30.0335,65.25,66.99,88,90,8.05
mega,ET,38.3,4.05,58.14,58.14,50,87,6.13
kribi,CM,9.9167,2.95,79.93,79.93,86,19,4.76
quelimane,MZ,36.8883,-17.8786,75.2,75.2,97,100,4.07
rocha,UY,-54.3333,-34.4833,66.88,66.88,93,97,7.96
egvekinot,RU,-179.1667,66.3167,-24.36,-24.36,83,2,12.3
hofn,IS,-15.2082,64.2539,38.53,38.53,74,100,13.31
praia,CV,-23.5087,14.9215,68.0,68.0,73,20,13.8
beyneu,KZ,55.2,45.3167,34.74,34.74,89,0,12.24
vereeniging,ZA,27.9261,-26.6731,64.4,66.0,91,100,7.56
imbituba,BR,-48.6703,-28.24,71.6,71.6,88,0,3.6
bengkulu,ID,102.2655,-3.8004,81.97,81.97,65,3,1.74
karpathos,GR,27.2132,35.507,59.0,59.0,77,0,9.22
ravar,IR,56.8055,31.2656,50.7,50.7,42,55,1.66
alta floresta,BR,-56.0861,-9.8756,71.85,71.85,95,100,0.51
porto novo,BJ,2.6036,6.4965,84.2,84.2,84,40,12.66
santana,BR,-51.1817,-0.0583,78.8,78.8,94,75,4.61
alekseyevsk,RU,108.3492,57.8406,-3.46,-3.46,90,80,1.97
vestmannaeyjar,IS,-20.2734,63.4427,40.98,40.98,69,100,29.04
fereydun kenar,IR,52.5225,36.6864,54.86,54.86,72,100,6.38
gravdal,NO,13.5031,68.1214,29.66,29.66,82,88,5.64
khowst,AF,69.8833,33.3833,47.1,47.1,43,0,3.83
neiafu,TO,-173.9833,-18.65,84.2,84.2,79,75,10.36
port lincoln,AU,135.8667,-34.7333,71.35,71.35,61,100,15.88
anadyr,RU,177.4833,64.75,-11.2,-11.2,64,0,2.24
tabuk,PH,121.4443,17.4189,79.48,79.48,72,14,4.03
kon tum,VN,108.0,14.35,72.46,72.46,63,76,2.73
pochutla,MX,-96.4661,15.7432,79.0,79.0,76,0,1.99
sorland,NO,12.6934,67.667,32.81,32.81,84,99,9.8
svetlyy,RU,20.1347,54.675,5.0,5.0,85,40,8.95
luderitz,NA,15.1594,-26.6481,66.15,66.15,78,94,2.46
acapulco,MX,-99.8901,16.8634,80.6,80.6,69,75,8.05
college,US,-147.8028,64.8569,4.77,6.8,56,75,3.44
rezekne,LV,27.3167,56.5,5.79,5.79,95,100,5.53
harnosand,SE,17.9379,62.6323,6.3,9.0,72,0,10.36
ilo,PE,-71.3375,-17.6394,70.86,70.86,79,98,1.86
san policarpo,PH,125.5072,12.1791,80.78,80.78,84,64,12.08
talaya,RU,152.75,61.3833,1.24,1.24,90,100,2.21
nuuk,GL,-51.7216,64.1835,24.8,24.8,93,75,2.3
chico,US,-121.8375,39.7285,59.02,60.8,59,75,5.75
brae,GB,-1.353,60.3964,34.52,34.52,83,45,10.92
ambulu,ID,113.6058,-8.345,82.36,82.36,72,62,2.8
dunedin,NZ,170.5036,-45.8742,63.1,64.0,51,64,1.01
burnie,AU,145.9167,-41.0667,61.0,61.0,85,98,5.01
kapuskasing,CA,-82.4331,49.4169,-17.5,-16.6,76,54,3.44
port hardy,CA,-127.4199,50.6996,34.5,35.6,55,20,13.8
umm lajj,SA,37.2685,25.0213,75.7,75.7,47,1,11.16
westport,US,-73.3579,41.1415,28.45,30.99,47,40,4.61
mogadishu,SO,45.3438,2.0371,75.78,75.78,82,92,17.69
idritsa,RU,28.8988,56.3316,6.12,6.12,95,100,4.0
ranong,TH,98.6348,9.9658,80.6,80.6,78,0,5.75
santa vitoria,BR,-50.1214,-18.8386,75.18,75.18,61,59,1.12
eureka,US,-124.1637,40.8021,50.22,51.01,84,63,2.95
kita,ML,-9.4895,13.0349,75.38,75.38,19,14,4.54
baihar,IN,80.55,22.1,59.29,59.29,34,41,1.59
voljevac,BA,17.6592,43.8786,43.36,48.0,100,90,3.44
cotonou,BJ,2.4183,6.3654,84.2,84.2,84,40,12.66
zhigansk,RU,123.3711,66.7697,-13.54,-13.54,86,100,10.98
uvinza,TZ,30.3911,-5.1036,66.92,66.92,88,100,2.04
dicabisagan,PH,122.4157,17.0818,81.99,81.99,71,19,1.32
mayya,RU,130.2811,61.7333,-20.2,-20.2,69,0,4.47
abha,SA,42.5053,18.2164,48.02,50.0,81,0,1.36
balabac,PH,117.0645,7.9868,82.33,82.33,75,10,7.18
tsotilion,GR,21.3167,40.2667,50.0,50.0,53,36,9.22
scottsbluff,US,-103.6672,41.8666,7.9,8.6,78,90,19.57
high level,CA,-117.136,58.5169,-16.6,-16.6,76,1,6.91
porbandar,IN,69.6093,21.6422,66.85,66.85,54,100,8.46
skowhegan,US,-69.7192,44.7651,11.7,12.99,58,0,6.6
aksu,CN,80.2644,41.1231,29.1,29.1,89,5,1.16
bud,US,-86.1758,39.447,19.0,19.0,86,100,10.96
saint-georges,GD,-61.7485,12.0564,77.0,77.0,78,40,11.5
rabo de peixe,PT,-25.5833,37.8,59.0,59.0,77,40,19.57
keflavik,IS,-22.5624,64.0049,34.39,35.6,80,75,14.97
cheremukhovo,RU,59.9851,60.3484,-20.78,-20.78,84,21,2.28
tuatapere,NZ,167.6833,-46.1333,52.07,52.07,85,100,14.61
sandnessjoen,NO,12.6316,66.0217,11.46,17.6,79,100,3.44
tual,ID,132.75,-5.6667,83.91,83.91,77,86,11.9
snasa,NO,12.3778,64.2457,3.16,3.16,79,9,1.74
ojuelos de jalisco,MX,-101.5833,21.8667,60.69,60.69,31,68,9.51
beruwala,LK,79.9828,6.4788,72.16,72.16,85,5,4.79
hangu,CN,117.7892,39.2489,46.4,46.4,57,0,6.71
ola,RU,151.2833,59.5833,18.61,18.61,89,100,9.04
erdenet,MN,104.0833,49.0333,11.5,11.5,96,100,1.72
semnan,IR,53.3971,35.5729,49.14,49.14,49,100,2.26
belmonte,BR,-38.8828,-15.8631,77.0,77.0,78,0,4.61
kushiro,JP,144.3747,42.975,24.8,24.8,58,40,1.14
senanga,ZM,23.2667,-16.1167,67.33,67.33,97,100,3.2
skibotn,NO,20.2679,69.3913,26.26,26.6,93,75,2.3
rosarito,MX,-117.0333,32.3333,56.53,60.8,71,1,4.61
waukesha,US,-88.3001,43.0333,1.31,3.99,60,1,5.75
krasnoselkup,RU,82.4667,65.7,-23.93,-23.93,86,100,4.52
pacific grove,US,-121.9166,36.6177,52.95,53.6,76,1,4.61
la macarena,CO,-73.7849,2.1837,77.7,77.7,70,99,2.71
keti bandar,PK,67.4497,24.1447,66.36,66.36,53,100,1.63
unai,BR,-46.9061,-16.3575,71.28,71.28,86,100,0.76
ust-kuyga,RU,135.6,70.0167,-15.47,-15.47,83,0,6.46
wagar,SD,36.2032,16.1525,66.0,66.0,88,0,9.19
manakara,MG,48.0167,-22.1333,71.33,71.33,92,100,5.03
pasni,PK,63.471,25.2631,72.52,72.52,33,100,10.83
launceston,AU,147.1667,-41.45,68.16,69.01,52,99,12.66
andenes,NO,16.1194,69.3143,28.4,28.4,59,75,8.05
burla,IN,83.8667,21.5,55.4,55.4,82,50,1.66
rundu,NA,19.7667,-17.9333,66.27,66.27,97,100,4.63
winneba,GH,-0.6231,5.3511,82.4,82.4,89,40,13.8
port shepstone,ZA,30.455,-30.7414,74.7,74.7,88,75,11.03
babu,CN,111.5167,24.4167,58.86,58.86,71,29,4.68
saint anthony,US,-93.218,45.0205,-0.44,1.4,55,1,12.66
mangulile,HN,-86.8,15.0667,59.16,59.16,69,0,1.05
baykit,RU,96.37,61.67,-14.58,-14.58,85,100,2.44
chiredzi,ZW,31.6667,-21.05,68.49,68.49,94,96,5.77
saint-francois,FR,3.9054,46.4154,28.67,28.99,93,90,6.91
champerico,GT,-91.9167,14.3,66.79,69.01,90,12,10.69
avera,US,-82.5271,33.194,59.41,62.01,94,1,5.75
san andres,CO,-81.7006,12.5847,80.6,80.6,74,20,8.05
nieuw nickerie,SR,-56.9833,5.95,77.05,77.05,82,0,14.29
copiapo,CL,-70.3333,-27.3667,62.6,62.6,82,2,4.61
vila,PT,-8.1588,42.0304,48.0,48.0,96,100,5.01
baijiantan,CN,85.1833,45.6333,12.02,12.02,88,78,7.72
bathsheba,BB,-59.5167,13.2167,78.8,78.8,61,40,21.85
igrim,RU,64.4162,63.1906,-27.87,-27.87,85,0,3.44
antalaha,MG,50.2788,-14.9003,75.36,75.36,90,100,4.03
wahiawa,US,-158.0236,21.5028,75.43,77.0,56,90,6.85
kalabo,ZM,22.6814,-14.97,67.08,67.08,81,100,2.33
verkhozim,RU,45.418,52.7122,7.36,7.36,95,100,9.73
brewster,US,-73.6171,41.3973,22.44,24.01,79,90,0.85
blagoyevo,RU,47.9167,63.3667,-14.69,-14.69,89,0,3.56
kidal,ML,1.4078,18.4411,67.51,67.51,21,1,6.85
marsaxlokk,MT,14.5431,35.8419,55.45,55.99,71,20,24.16
kayerkan,RU,87.7602,69.3497,-16.6,-16.6,79,0,3.53
bamnet narong,TH,101.6897,15.4992,73.53,73.53,50,0,10.29
rovira,CO,-75.24,4.2392,69.87,69.87,77,100,4.79
pitea,SE,21.4794,65.3172,6.8,6.8,92,56,6.91
alihe,CN,123.7167,50.5667,13.59,13.59,92,97,3.06
rosetta,EG,30.4164,31.4044,51.8,51.8,93,0,2.3
bani,DO,-70.3333,18.2833,77.0,77.0,76,30,1.01
